party,state,year,region_type,administration_score,education_score,employment_score,health_score,public_transport_score,overall_sentiment_score,sentiment_label,governance_review
BJP,Uttar Pradesh,2022,State,7.2,6.5,5.8,6.1,5.5,6.2,Positive,"Strong law and order, improved infrastructure, but employment concerns remain"
BJP,Gujarat,2022,State,8.1,7.3,7.5,7.0,6.8,7.3,Positive,"Industrial growth, GIFT City development, robust healthcare initiatives"
BJP,Madhya Pradesh,2022,State,6.8,6.2,5.5,6.0,5.2,5.9,Neutral,"Moderate governance, education reforms underway, transport needs improvement"
BJP,Rajasthan,2023,State,7.0,6.8,6.0,6.5,5.8,6.4,Positive,"Healthcare schemes expanded, education digitization, decent administration"
BJP,Himachal Pradesh,2021,State,6.5,7.0,5.9,6.7,5.0,6.2,Neutral,"Good education metrics, remote transport challenge, moderate employment"
BJP,Assam,2022,State,6.9,6.4,5.7,6.2,5.4,6.1,Neutral,"Flood management improved, education access expanded, employment moderate"
BJP,Tripura,2022,State,6.3,6.6,5.4,6.0,4.9,5.8,Neutral,"Connectivity challenges, education push, moderate overall governance"
BJP,Maharashtra,2022,State,6.7,7.1,6.8,6.9,7.2,6.9,Positive,"Mumbai infrastructure, IT sector growth, strong health system"
BJP,Karnataka,2022,State,6.4,7.4,7.2,6.8,6.5,6.9,Positive,"Bengaluru tech hub, education excellence, good urban transport"
BJP,Uttarakhand,2022,State,6.8,6.7,5.6,6.3,5.1,6.1,Neutral,"Tourism development, remote area challenges, decent education"
INC,Rajasthan,2021,State,6.2,6.9,5.8,7.1,5.6,6.3,Positive,"Chiranjeevi health scheme lauded, education schemes, moderate employment"
INC,Chhattisgarh,2022,State,6.5,6.8,6.0,7.0,5.4,6.3,Positive,"Healthcare access improved, tribal education, agriculture support"
INC,Karnataka,2023,State,6.8,7.2,6.5,7.0,6.4,6.8,Positive,"Guarantee schemes popular, education budget increased, urban transport"
INC,Himachal Pradesh,2023,State,6.6,7.1,5.7,6.8,5.2,6.3,Positive,"Old pension scheme restored, education focus, employment concerns"
INC,Telangana,2023,State,6.9,7.0,6.3,6.7,6.1,6.6,Positive,"Women empowerment schemes, education reforms, farmer support"
INC,Madhya Pradesh,2019,State,5.8,6.4,5.5,6.2,5.0,5.8,Neutral,"Brief tenure, social welfare push, moderate outcomes"
INC,Punjab,2017,State,5.5,6.3,5.4,6.0,5.5,5.7,Neutral,"Drug menace challenge, moderate governance, some welfare delivery"
INC,Uttarakhand,2017,State,5.9,6.5,5.3,6.1,5.0,5.8,Neutral,"Moderate administration, disaster management, education expansion"
AAP,Delhi,2022,State,8.5,9.2,6.8,8.7,8.4,8.3,Positive,"Mohalla clinics, free utilities, school renovation, metro expansion"
AAP,Delhi,2020,State,8.3,9.0,6.5,8.5,8.2,8.1,Positive,"World-class schools, healthcare model, strong governance metrics"
AAP,Punjab,2023,State,6.5,7.5,6.2,7.0,6.0,6.6,Positive,"Anti-corruption drive, education reform, free power, early stage"
AAP,Delhi,2019,State,8.0,8.8,6.3,8.2,8.0,7.9,Positive,"Education revolution, health access, public transport subsidy"
TMC,West Bengal,2022,State,6.0,6.5,5.6,6.3,6.2,6.1,Neutral,"Duare Sarkar scheme, social welfare, law and order concerns"
TMC,West Bengal,2021,State,5.8,6.3,5.4,6.1,6.0,5.9,Neutral,"Post-election violence concern, welfare delivery, transport adequate"
TMC,West Bengal,2020,State,5.9,6.2,5.5,6.0,5.8,5.9,Neutral,"COVID management mixed, education access, employment slow"
SP,Uttar Pradesh,2017,State,5.5,6.8,5.6,5.9,6.5,6.1,Neutral,"Agra-Lucknow expressway, education laptops, law and order issues"
SP,Uttar Pradesh,2012,State,5.2,6.5,5.3,5.7,6.3,5.8,Neutral,"Infrastructure projects, youth schemes, administration challenges"
BSP,Uttar Pradesh,2007,State,5.8,5.9,5.2,5.6,5.1,5.5,Neutral,"Dalit empowerment, memorials controversial, moderate development"
DMK,Tamil Nadu,2023,State,7.0,7.5,6.8,7.2,7.5,7.2,Positive,"Naan Mudhalvan scheme, strong education history, good urban transport"
DMK,Tamil Nadu,2022,State,6.9,7.4,6.7,7.1,7.4,7.1,Positive,"Industrialization, education investment, Chennai metro expansion"
AIADMK,Tamil Nadu,2020,State,6.7,7.1,6.3,7.0,7.1,6.8,Positive,"AMMA canteens, welfare schemes, health infrastructure, good transport"
AIADMK,Tamil Nadu,2019,State,6.5,7.0,6.2,6.9,7.0,6.7,Positive,"Social welfare strong, education decent, transport development"
TRS/BRS,Telangana,2022,State,7.2,7.0,6.5,6.8,6.5,6.8,Positive,"KCR Kit, Rythu Bandhu, IT growth, Hyderabad infrastructure"
TRS/BRS,Telangana,2020,State,7.0,6.8,6.3,6.6,6.3,6.6,Positive,"Irrigation projects, Hyderabad development, social schemes"
YSR Congress,Andhra Pradesh,2022,State,7.3,7.6,6.4,7.8,6.2,7.1,Positive,"Amma Vodi, Jagananna schemes, health cards, village secretariats"
YSR Congress,Andhra Pradesh,2021,State,7.1,7.4,6.2,7.6,6.0,6.9,Positive,"Welfare delivery strong, education support, health expansion"
TDP,Andhra Pradesh,2018,State,7.0,7.2,6.8,6.9,6.5,6.9,Positive,"Amaravati development, Polavaram project, welfare schemes"
NCP,Maharashtra,2019,State,6.3,6.5,6.2,6.4,6.8,6.4,Neutral,"Irrigation focus, sugar cooperative, urban development, coalition govt"
Shiv Sena,Maharashtra,2020,State,6.1,6.4,5.9,6.5,7.0,6.4,Neutral,"Mumbai infrastructure, COVID management mixed, transport focus"
JDU,Bihar,2022,State,6.0,6.3,5.5,5.9,5.4,5.8,Neutral,"Road development, education push, health challenges, rural focus"
JDU,Bihar,2020,State,5.9,6.2,5.4,5.8,5.2,5.7,Neutral,"Nitish Kumar governance stable, education growing, employment low"
RJD,Bihar,2005,State,4.5,5.5,4.8,4.9,4.7,4.9,Negative,"Jungle raj perception, poor infrastructure, health neglected"
LDF (CPI-M),Kerala,2022,State,7.8,8.5,7.0,8.8,7.5,8.0,Positive,"K-Rail, education excellence, health model, social indicators top"
LDF (CPI-M),Kerala,2021,State,7.7,8.4,6.8,8.7,7.3,7.9,Positive,"COVID management exemplary, education quality, health access"
LDF (CPI-M),Kerala,2020,State,7.6,8.3,6.7,8.6,7.2,7.8,Positive,"High HDI, strong public services, Kerala model acclaimed globally"
UDF (INC),Kerala,2016,State,7.4,8.1,6.5,8.3,7.0,7.5,Positive,"Strong welfare, education culture, health access, good governance"
SAD,Punjab,2017,State,5.4,6.1,5.3,5.8,5.6,5.6,Neutral,"Drug menace perception, Badal family criticized, moderate delivery"
TDP,Andhra Pradesh,2014,State,6.8,6.9,6.5,6.7,6.3,6.6,Positive,"IT promotion, skill development, welfare delivery, Amaravati plan"
BJP,National (Central),2023,National,7.5,6.8,6.5,6.9,6.7,6.9,Positive,"Digital India, Ayushman Bharat, infrastructure push, Make in India"
BJP,National (Central),2022,National,7.3,6.7,6.2,6.8,6.5,6.7,Positive,"Vaccination drive, PM Awas, Jal Jeevan, highway development"
BJP,National (Central),2020,National,7.0,6.5,5.5,6.5,6.3,6.4,Neutral,"COVID disruption, economic slowdown, welfare delivery decent"
BJP,National (Central),2019,National,7.2,6.6,6.0,6.7,6.4,6.6,Positive,"PM Kisan, Swachh Bharat, Ujjwala, strong national projects"
INC,National (Central),2013,National,5.5,6.2,5.8,6.0,5.7,5.8,Neutral,"UPA-2 scam perception, MGNREGA positive, inflation high"
INC,National (Central),2010,National,6.0,6.5,6.2,6.1,5.8,6.1,Neutral,"RTI, MGNREGA, high growth era, coalition compulsions"
INC,National (Central),2008,National,6.2,6.6,6.5,6.2,5.9,6.3,Positive,"Inclusive growth, NRHM, Bharat Nirman, nuclear deal era"
BJP,Goa,2022,State,6.8,6.9,6.5,6.7,6.0,6.6,Positive,"Tourism infrastructure, mining resolution, social welfare"
INC,Goa,2017,State,6.0,6.6,6.2,6.4,5.8,6.2,Neutral,"Brief governance, coalition instability, moderate delivery"
AAP,Goa,2022,State,5.0,5.5,4.8,5.2,4.5,5.0,Neutral,"Limited presence, promises vs delivery gap, early performance"
NDA (Bihar),Bihar,2022,State,6.1,6.4,5.7,6.0,5.5,5.9,Neutral,"Roads improved, education growing, health needs work"
BJP,Manipur,2022,State,6.4,6.3,5.5,6.1,4.8,5.8,Neutral,"Border infrastructure, peace efforts, education moderate"
INC,Meghalaya,2018,State,5.8,6.2,5.4,5.9,4.7,5.6,Neutral,"Tribal welfare, coal mining issues, moderate development"
BJP,Arunachal Pradesh,2022,State,6.5,6.3,5.6,6.0,4.5,5.8,Neutral,"Border development, Central schemes, connectivity challenge"
DMK,Tamil Nadu,2015,State,6.7,7.2,6.5,6.8,7.2,6.9,Positive,"Welfare schemes, education tradition, transport, Chennai growth"
TRS/BRS,Telangana,2018,State,6.8,6.7,6.4,6.5,6.2,6.5,Positive,"Kaleshwaram project, urban development, social welfare"
BJP,Haryana,2022,State,6.6,6.5,5.9,6.3,6.0,6.3,Neutral,"Agri income concerns, education moderate, health schemes"
INC,Haryana,2019,State,6.0,6.3,5.8,6.0,5.7,5.9,Neutral,"Brief tenure, moderate impact, competitive exam issues"
JMM,Jharkhand,2022,State,5.9,6.0,5.5,5.8,4.9,5.6,Neutral,"Tribal rights, mining policy, education moderate, transport low"
BJP,Jharkhand,2019,State,6.1,6.2,5.6,5.9,5.0,5.8,Neutral,"Tribal welfare, Central scheme delivery, moderate administration"
Sikkim Democratic Front,Sikkim,2019,State,7.0,7.5,6.5,7.3,6.0,6.9,Positive,"First organic state, tourism, clean governance, education quality"
SKM,Sikkim,2022,State,7.1,7.6,6.6,7.4,6.2,7.0,Positive,"Continued welfare, tourism boost, education, anti-corruption"
NC,Jammu & Kashmir,2014,State,5.8,6.4,5.5,6.1,5.5,5.9,Neutral,"Tourism dependent, separatist challenge, moderate governance"
PDP,Jammu & Kashmir,2016,State,5.5,6.2,5.3,5.9,5.2,5.6,Neutral,"Coalition tensions, security concerns, welfare delivery mixed"
BJP,Jammu & Kashmir (LG),2022,UT,6.2,6.5,5.7,6.3,5.6,6.1,Neutral,"Development push, Central funds, security improvement, elections awaited"
